no_registrasi,nomor_surat,tanggal,entitas,produk,divisi,jenis_surat,perihal,tujuan_penerima,pembuat,status,lokasi_arsip
REG-2026-0001,003/MKT/KAB/EJ/III/2026,2026-03-14,KAB,GREN,MKT,IOM,Promo Survey Property Kost Voucher Yogya Grup,Divisi Sales,Divisi Marketing Communication,TERARSIP,01_GREN_PROPERTYKOST/03_Internal_Office_Memo_IOM/003_MKT_KAB_EJ_III_2026_IOM_Voucher_Survey_Serentak_Elit_Jatinangor.docx
REG-2026-0002,001/PP/GREN-PKJ/2026,2026-07-20,KAB,GREN,MKT,SURAT_KELUAR,Permohonan Izin Pelaksanaan Booth Informasi (Open Table) Golf Jatinangor,Manajemen Jatinangor National Golf & Resort,Divisi Marketing GREN Propertykost,TERARSIP,01_GREN_PROPERTYKOST/01_Surat_Keluar/001_PP_GREN_PKJ_2026_Permohonan_Open_Table_Golf_Jatinangor.docx
REG-2026-0003,[NON-SURAT / FORM TRANSAKSI],2026-08-01,KAB,GREN,SLS,FORMULIR_TRANSAKSI,Surat Konfirmasi Unit Pesanan (SKUP) GREN,Konsumen / Buyer Unit,Divisi Sales GREN Propertykost,FORMULIR_BAKU_SALES,01_GREN_PROPERTYKOST/05_Administrasi_Konsumen/Surat_Konfirmasi_Unit_Pesanan_SKUP_GREN.pdf
REG-2026-0004,[NON-SURAT / FORM TRANSAKSI],2026-08-01,KAB,GREN,SLS,FORMULIR_TRANSAKSI,Surat Pemesanan Unit Kost GREN,Konsumen / Buyer Unit,Divisi Sales GREN Propertykost,FORMULIR_BAKU_SALES,01_GREN_PROPERTYKOST/05_Administrasi_Konsumen/Surat_Pemesanan_GREN.pdf
REG-2026-0005,001/MKT/YPL/CORP/VIII/2026,2026-08-15,YPL,CORP,MKT,PROPOSAL,Pengajuan Aktivitas Markom dan Sales Yanproland Agustus 2026,Direksi Yanproland,Divisi Markom & Digital Skill,TERARSIP,07_CORPORATE_YANPROLAND_HOLDING/03_Internal_Office_Memo_Holding/Proposal_Pengajuan_Aktivitas_Markom_dan_Sales_Yanproland_Agustus_2026.xlsx
REG-2026-0007,002/MKT/YPL/VI/2026,2026-06-16,YPL,CORP,MKT,IOM,"Skema Closing Fee (CF) Sales, SPV, & SM Periode Juni - Desember 2026",Seluruh Rekan Sales & Agent,Divisi Marketing Communication / Management,TERARSIP,07_CORPORATE_YANPROLAND_HOLDING/03_Internal_Office_Memo_Holding/002_MKT_YPL_VI_2026_IOM_Skema_Closing_Fee_Sales_Juni_Desember_2026.pdf
REG-2026-0008,004/MKT/YPL/VI/2026,2026-06-14,YPL,CORP,MKT,IOM,Skema Komisi (Fee) Sales & Promo Spesial Juni - Juli 2026,Seluruh Rekan Sales & Agent,Divisi Marketing Communication / Management,TERARSIP,07_CORPORATE_YANPROLAND_HOLDING/03_Internal_Office_Memo_Holding/004_MKT_YPL_VI_2026_IOM_Skema_Komisi_Sales_Juni_Juli_2026.pdf
REG-2026-0009,002/PP/GREN-PKJ/2026,2026-09-15,KAB,GREN,MKT,SURAT_KELUAR,Permohonan Izin Open Table & Distribusi Brosur SESKO TNI,KAPRIM SESKO TNI Bandung,Tim Marketing GREN Propertykost,TERARSIP,01_GREN_PROPERTYKOST/01_Surat_Keluar/002_PP_GREN_PKJ_2026_Permohonan_Open_Table_SESKO_TNI_Bandung.pdf
REG-2026-0010,200/UN31.25/KM/2026,2026-08-25,NAI,FNA,EXT,SURAT_MASUK,Surat Keterangan Mahasiswa Aktif UT Padang a.n. Nugi Fathul Falah,Nugi Fathul Falah,Kepala UPBJJ-UT Padang,TERARSIP,05_FREELANCE_NUGI_AI_STUDIO/02_Surat_Masuk/200_UN31_25_KM_2026_Surat_Keterangan_Mahasiswa_Aktif_UT_Nugi_Fathul_Falah.pdf
REG-2026-0011,001/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Pak Rhendy),Pak Rhendy,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/001_OT_YPL_03_IX_2026_Undangan_Open_Table_Pak_Rhendy.pdf
REG-2026-0012,002/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Bu Euis),Bu Euis,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/002_OT_YPL_03_IX_2026_Undangan_Open_Table_Bu_Euis.pdf
REG-2026-0013,003/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Ibu Haji Deden),Ibu Haji Deden,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/003_OT_YPL_03_IX_2026_Undangan_Open_Table_Ibu_Haji_Deden.pdf
REG-2026-0014,004/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Pak Fasha),Pak Fasha,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/004_OT_YPL_03_IX_2026_Undangan_Open_Table_Pak_Fasha.pdf
REG-2026-0015,005/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Ibu Re),Ibu Re,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/005_OT_YPL_03_IX_2026_Undangan_Open_Table_Ibu_Re.pdf
REG-2026-0016,006/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Pak Gun Gun),Pak Gun Gun,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/006_OT_YPL_03_IX_2026_Undangan_Open_Table_Pak_Gun_Gun.pdf
REG-2026-0017,007/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Ibu Leni),Ibu Leni,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/007_OT_YPL_03_IX_2026_Undangan_Open_Table_Ibu_Leni.pdf
REG-2026-0018,008/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Pak Tomi),Pak Tomi,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/008_OT_YPL_03_IX_2026_Undangan_Open_Table_Pak_Tomi.pdf
REG-2026-0019,009/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Pak Gilang),Pak Gilang,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/009_OT_YPL_03_IX_2026_Undangan_Open_Table_Pak_Gilang.pdf
REG-2026-0020,010/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Bu Mey),Bu Mey,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/010_OT_YPL_03_IX_2026_Undangan_Open_Table_Bu_Mey.pdf
REG-2026-0021,011/OT/YPL/03/IX/2026,2026-09-03,YPL,HJA,MKT,UNDANGAN,Undangan Open Table Jatihandap Asri di Dapur Hawu (Bu Haunurida),Bu Haunurida,Tim Marketing Jatihandap Asri,TERARSIP,02_HUNIAN_ASRI_JATIHANDAP/01_Surat_Keluar/011_OT_YPL_03_IX_2026_Undangan_Open_Table_Bu_Haunurida.pdf
REG-2026-0022,021/SAB-DIR/EXT/VIII/2026,2026-08-27,SAB,CORP,DIR,SURAT_KELUAR,Surat Pemberitahuan Izin Tinggal & Delegasi Hunian Sementara Majesty Apartment,Badan Pengelola Majesty Apartment Bandung,Direktur Utama PT SAB (Bpk. Yana Priatna),TERARSIP,07_CORPORATE_YANPROLAND_HOLDING/02_Surat_Tugas_Dan_Kuasa/021_SAB_DIR_EXT_VIII_2026_Surat_Pemberitahuan_Izin_Tinggal_Majesty_732.docx
REG-2026-0023,[PKS-KAB-2026-07-20],2026-07-20,KAB,GREN,MKT,SPK,PKS Optimalisasi Lead Gen & Coaching Digital Marketing (Aswar Anas),Aswar Anas,PT Kenzo Anatha Bumi (Yana Priatna),TERARSIP,01_GREN_PROPERTYKOST/06_SPK_Dan_Kontrak/PKS_PT_Kenzo_Anatha_Bumi_Aswar_Anas_Digital_Marketing_Meta_Ads.docx
REG-2026-0023,004/MKT/KAB/GREN/IX/2026,2026-09-21,KAB,GREN,MKT,IOM,Kebijakan Skema Fee Penjualan Rukost 10% Khusus Cash Keras 21 Hari (Tim Sales Marketing),Seluruh Rekan Tim Sales & Marketing GREN Propertykost,Direktur Utama PT. Kenzo Anatha Bumi (Bapak Yana Priatna),DITERBITKAN & DITANDATANGANI,01_GREN_PROPERTYKOST/03_Internal_Office_Memo_IOM/004_MKT_KAB_GREN_IX_2026_IOM_Skema_Fee_Rukost_Cash_Keras_10_Persen.docx (dan .pdf)
